StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q62,Q57,g_writing,Q59_First Click,Q59_Last Click,Q59_Page Submit,Q59_Click Count,g_manip_check_1,g_manip_check_2,g_manip_check_3,g_manip_check_DO_1,g_manip_check_DO_2,g_manip_check_DO_3,elevation_1,elevation_2,elevation_3,elevation_4,elevation_5,elevation_6,elevation_DO_1,elevation_DO_2,elevation_DO_3,elevation_DO_4,elevation_DO_5,elevation_DO_6,DV1_1,DV1_2,DV1_DO_1,DV1_DO_2,c_writing,Q61_First Click,Q61_Last Click,Q61_Page Submit,Q61_Click Count,c_manip_check_1,c_manip_check_2,c_manip_check_3,c_manip_check_DO_1,c_manip_check_DO_2,c_manip_check_DO_3,fatigue_1,fatigue_2,fatigue_3,fatigue_4,fatigue_5,fatigue_6,fatigue_7,fatigue_8,fatigue_9,fatigue_DO_1,fatigue_DO_2,fatigue_DO_3,fatigue_DO_4,fatigue_DO_5,fatigue_DO_6,fatigue_DO_7,fatigue_DO_8,fatigue_DO_9,desire_predict_1,desire_predict_2,desire_predict_3,desire_predict_4,desire_predict_5,desire_predict_6,desire_predict_7,desire_predict_8,desire_predict_DO_1,desire_predict_DO_2,desire_predict_DO_3,desire_predict_DO_4,desire_predict_DO_5,desire_predict_DO_6,desire_predict_DO_7,desire_predict_DO_8,emotion,cond,FL_6_DO_FL_56,FL_6_DO_FL_52,FL_6_DO_FL_53,FL_6_DO_FL_57,FL_37_DO_DV1Elevation,FL_37_DO_DV2Empathicconcern,FL_42_DO_DV1fatigue,FL_42_DO_DV2Predictability,TWIN_ID
5/29/2025 16:31,5/29/2025 16:39,100,433,1,5/29/2025 16:39,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I was on the highway driving to my mother in law's house for a bbq, when traffic had come to a stop due to an accident ahead. All the sudden from behind us, I see cars moving over trying to get out of the way of a semi truck ",2.155,132.172,200.017,2,5,5,3,2,3,1,5,5,7,5,3,2,1,5,6,9,8,3,1,5,7,2,4,6,3,6,2,6,2,3,7,5,3,4,5,8,6,7,2,1,in_control,prime,1,,,,,,2,1,413
5/29/2025 16:14,5/29/2025 16:18,100,215,1,5/29/2025 16:18,4,I will not use AI to answer this survey,I first got out of bed and jumped into the shower. After I showered I brushed my teeth and headed down to the kitchen to sit and drink coffee with my girlfriend. We chatted for about 20 minutes and she made me 2 eggs and toast. After breakfast we sat down in the living room until I left for work. I had a short work day today so I left a little earlier.  ,3.59,159.718,159.72,6,7,7,7,1,3,2,6,7,6,6,6,7,6,3,5,4,2,1,3,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,control,,,,1,2,1,,,416
5/29/2025 18:07,5/29/2025 18:11,100,267,1,5/29/2025 18:11,4,"I will not use AI to answer this survey
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"This morning I made breakfast with ingredients I carefully shopped for, brought home, and processed. I also ground coffee from two different sources I selected, bought, and blended together. ",10.203,130.511,130.519,3,5,5,6,1,2,3,1,1,7,1,2,1,6,4,2,2,6,1,5,9,3,7,8,4,4,5,3,3,5,4,5,3,5,7,8,2,3,6,1,4,in_control,control,,1,,,,,2,1,417
5/29/2025 16:17,5/29/2025 16:19,100,171,1,5/29/2025 16:19,4,"I will not use AI to answer this survey
",,,,,,,,,,,,,,,,,,,,,,,,,,,,At work I was told my job was ending. basically I work in minority services. with everything going on in the government no more funding by the state. it was horrible. i cried. it was horrible and I felt so rejected and that iwasont going to ammoun to anything now. Im now scared about if I ever will get a job again.,1.159,123.137,123.145,3,6,6,5,3,1,2,6,6,5,4,7,5,4,6,6,1,2,4,3,6,7,8,5,9,2,5,2,1,4,2,4,4,2,4,7,3,6,8,1,5,in_control,prime,1,,,,,,2,1,419
5/30/2025 7:03,5/30/2025 7:06,100,205,1,5/30/2025 7:06,4,"""I will not use AI to answer this survey""
",I wake up and I pee.  Then I weigh myself.  I go to kitchen and make a cup of coffee.  Then I sit and relax until it is time to get a shower and get ready for the day.  I try to eat so I can take my medications without getting sick.. I usually have to go to the Doctors or my husband does.  It is very boring and routine.  sometimes i turn on the news and I am scrolling the phone for a bit.,4.039,136.562,136.565,4,2,2,2,3,1,2,1,1,1,1,1,1,4,2,6,1,5,3,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,control,,,,1,1,2,,,422
5/29/2025 16:49,5/29/2025 16:54,100,274,1,5/29/2025 16:54,4,I will not use AI to answer this survey,"with my morning routine when i wake up have to brush my teeth then hit the gym for just 30 minutes, after this have to quickly wash down and start preparing for work. but before leaving i usually take my breakfast at home before leaving to work ",1.577,121.394,121.464,4,6,6,6,1,3,2,6,6,6,6,6,6,2,6,5,4,3,1,6,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,control,,,,1,2,1,,,423
5/29/2025 21:20,5/29/2025 21:23,100,216,1,5/29/2025 21:23,4,I will not use AI to answer this survey,Today at the grocery store I had my hands full at the self checkout and was struggling to find a place to put the basket. A worker came to get the basket from me and I was genuinely grateful they helped me so I would not drop anything.,3.549,124.652,124.659,2,7,7,7,1,3,2,7,7,7,6,7,7,4,2,6,1,5,3,5,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,prime,,,1,,1,2,,,426
5/29/2025 18:44,5/29/2025 18:47,100,183,1,5/29/2025 18:47,4,I will not use AI to answer this survey,I got up out of bed and went to the bathroom.  Then I went to the kitchen and started my coffee maker after putting in the water and coffee. I went into the bedroom and picked out the clothes I was going to wear to work.  I went back into the bathroom and got into the shower and washed my hair.  Then I went to the sink and brushed my teeth.  I went into the k,9.339,123.323,123.334,3,5,5,5,1,3,2,3,4,5,1,6,5,6,1,4,3,5,2,7,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,control,,,,1,2,1,,,429
5/31/2025 7:39,5/31/2025 7:42,100,230,1,5/31/2025 7:42,4,I will not use AI to answer this survey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,"My family was forced to move from our old house. Our landlord at the time who we were renting the house from decided to move to Florida. He gave us one month notice and we had no choice or say in the matter. We had to find somewhere new to live and get everything packed up within a month. I was extremely upset, stressed out and anxious about having to find somewhere else to live. ",5.407,120.969,120.972,4,5,6,3,2,3,1,1,1,7,1,1,1,4,3,2,8,7,5,2,1,9,3,4,6,2,5,5,5,5,5,5,3,1,8,3,6,7,2,5,4,in_control,prime,1,,,,,,1,2,430
5/29/2025 16:15,5/29/2025 16:19,100,269,1,5/29/2025 16:19,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As a software engineer, I had an issue at work where a client found a bug in their software. I was very familiar with the target application and was confident in diagnosing and correcting the problem. I delved into the code and knew exactly where to look, quickly finding the problem. I also knew exactly how to fix it, which I did swiftly. I felt proud to know I had mastery of the application and had the technical know-how to efficiently deal with the issue and satiate the angry client, assuring their continued business with the company.",1.138,133.506,133.509,7,6,6,5,2,3,1,2,5,7,3,4,2,5,4,5,2,5,1,6,8,9,7,4,3,5,4,4,3,4,3,6,4,5,2,8,6,1,4,3,7,in_control,control,,1,,,,,2,1,432
5/29/2025 16:35,5/29/2025 16:39,100,237,1,5/29/2025 16:39,4,i will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,I had a situation where I could not have my son over the weekend because his father had already made plans with him and it was not what I wanted but I had to accept the fact that I would not be able to get to see my son over that weekend. it wasn't something that I could really control and I felt pretty disappointed because I really wanted to do a few things with them over the weekend and wasn't able to ,7.546,120.709,120.723,3,4,4,6,2,3,1,6,1,7,1,3,1,2,2,5,1,8,5,9,6,4,3,7,2,2,7,5,4,2,5,6,6,8,2,4,3,1,7,6,5,in_control,prime,1,,,,,,1,2,433
5/29/2025 16:49,5/29/2025 16:56,100,415,1,5/29/2025 16:56,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I received a traffic ticket. I wanted to fight it, the town kept postponing the hearing until I lost track and forgot the date.",17.109,131.689,131.693,6,6,6,6,2,1,3,1,1,5,1,1,1,5,5,5,2,4,9,7,6,1,3,8,5,2,5,4,2,3,3,6,3,2,7,8,3,6,1,4,5,in_control,prime,1,,,,,,2,1,434
5/30/2025 15:04,5/30/2025 15:08,100,200,1,5/30/2025 15:08,4,I will not use AI to answer this survey,"I had a blown tire on the side of a busy street, it was dark and rainy out, and I didn't have a tire jack. Someone pulled over and loaned me theirs, was very kind about it, and didn't crowd me as I changed my tire so I felt safe the entire time. I was so glad to be out of that situation, and for someone's kindness in an uncertain situation.",5.623,122.222,122.224,3,2,2,2,2,3,1,2,5,4,2,3,3,5,6,2,1,4,3,5,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,prime,,,1,,1,2,,,436
5/29/2025 18:14,5/29/2025 18:18,100,297,1,5/29/2025 18:18,4,I will not use AI to answer this survey,I was grateful for a co-worker who offered to give me a ride when my car was having issues and couldn't run. I even offered him gas money and he wouldn't take it.,5.548,187.858,187.859,13,7,7,7,2,3,1,7,7,7,5,7,7,2,1,4,6,3,5,6,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,prime,,,1,,2,1,,,438
5/29/2025 17:32,5/29/2025 17:38,100,339,1,5/29/2025 17:38,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,I was pregnant and went into labor. I had planned my natural birth for nine months. Then I went into labor but everything went wrong. The baby was under serious stress and my body was not responding correctly. Come to find out the baby couldn’t drop due to my bone structure which they didn’t know about and so I was rushed into emergency surgery. I was extremely scared. My baby was born not breathing and had to be resuscitated and kept in the hospital for a while to get healthy. ,12.202,169.151,169.155,2,5,6,6,1,2,3,6,7,7,1,1,1,1,5,2,2,9,3,7,5,4,8,6,1,3,6,4,5,3,5,6,5,6,2,5,3,4,8,7,1,in_control,prime,1,,,,,,1,2,439
5/29/2025 16:56,5/29/2025 17:03,100,413,1,5/29/2025 17:03,4,I will not use AI to answer this survey,"When I felt sincerely grateful for someone's kindness or help in the past cannot be summed up by a single event because my encounters are normally second nature in kind help or kindness. Nevertheless, these moments are very emotional on my part when help ",23.156,27.981,200.019,2,3,3,1,1,3,2,3,1,3,1,1,1,6,2,5,1,4,3,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,prime,,,1,,1,2,,,441
5/30/2025 7:19,5/30/2025 7:24,100,299,1,5/30/2025 7:24,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A while back, during quarter-end, one of our main vendors suddenly told us they had made a mistake in their invoices. This was just two days before our reporting deadline, and the c",4.638,164.197,200.044,3,4,5,5,1,2,3,1,1,6,1,1,1,5,6,1,9,8,6,4,3,7,1,2,5,6,5,3,5,4,4,6,4,2,8,1,5,7,3,4,6,in_control,prime,1,,,,,,1,2,444
5/29/2025 16:35,5/29/2025 16:38,100,177,1,5/29/2025 16:38,4,I will not use AI to answer this survey,"I wake up around 6:30 to let my dogs out.  After I bring them in, I give them a treat and feed my fish.  I sit at my desk and read my bible, then check a few emails.  I take a shower and get ready for the day, then sit back at my desk to get ready for work.  I work for a couple of hours, make a smoothie, then get ready for the gym.  While waiting for my smoothie to digest a little, I'll watch some YouTube and finish up work.",5.208,121.07,121.071,2,6,6,6,3,2,1,4,5,5,4,5,6,3,6,2,1,5,4,5,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,control,,,,1,2,1,,,447
5/29/2025 17:56,5/29/2025 18:01,100,250,1,5/29/2025 18:01,4,I will not use AI to answer this survey,When I quit my job and was having trouble finding a new one my partner encouraged me to just go ahead and retire. It was a great decision all around because I have been stress free and able to support them as they continue to work. Without their encouragement and support I would still be working possibly at a job I was not happy at. I am ever grateful to have such a wonderful partner.,9.511,127.875,127.878,2,7,7,7,3,1,2,4,7,3,1,4,4,5,3,1,2,6,4,5,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,prime,,,1,,1,2,,,449
5/30/2025 16:01,5/30/2025 16:10,100,516,1,5/30/2025 16:10,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I was in control of the situation when they called me to the ER for an emergency with a patient that had fallen with a parachute, he was in critical condition and I did all I could to help with interpretation and other services. Everything went smooth.",11.961,122.681,122.69,2,4,4,4,1,2,3,1,2,7,2,1,1,7,6,3,6,5,2,3,7,8,1,9,4,1,6,5,4,2,6,4,5,1,5,8,7,2,6,3,4,in_control,control,,1,,,,,1,2,450
5/29/2025 16:42,5/29/2025 16:48,100,389,1,5/29/2025 16:49,4,I will not use AI to answer this survey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,I recall a situation where a patient who had an accident was rushed to the hospital unconscious. I quickly assessed the situation ,19.064,116.297,200.011,5,7,7,7,1,2,3,2,2,6,2,1,2,6,6,2,5,2,9,8,3,1,7,4,6,5,7,4,6,4,4,7,3,2,6,3,4,5,7,1,8,in_control,control,,1,,,,,2,1,452
5/29/2025 20:13,5/29/2025 20:16,100,178,1,5/29/2025 20:16,4,I will not use AI to answer this survey,"brushing teeth, make breakfast, changing cloth, drink coffee, drop off kids to school, go to work, have meeting, eat lunch, work, pick up kids from school, doing exercise, ",8.101,128.934,128.939,2,4,4,3,2,3,1,4,4,4,5,3,5,3,6,5,2,4,1,5,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,control,,,,1,2,1,,,455
5/29/2025 17:11,5/29/2025 17:15,100,231,1,5/29/2025 17:15,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I recently was at SAMs club and witnessed a lady fall to the ground and have a seizure.  I immediately went over and assisted with her dog and helped her mother, who was there.  It was scary and made me thankful that I don't have any major disabilities in my life.",9.66,122.34,122.35,7,6,6,4,3,2,1,2,2,6,2,2,2,4,4,2,2,8,5,1,9,6,7,3,4,4,4,4,1,5,5,6,4,2,7,3,1,6,4,5,8,in_control,control,,1,,,,,1,2,456
5/30/2025 15:31,5/30/2025 15:35,100,200,1,5/30/2025 15:35,4,I will not use AI to answer this survey.,"I wake up, get dressed and check my schedule. I decide what I need to do first and proceed with the beginning activity. I also prepare breakfast. Sometimes I make coffee or drink tea. Then I continue with my scheduled activities. ",7.769,122.176,122.184,3,4,4,4,2,1,3,2,4,5,3,4,5,3,6,5,1,4,2,5,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,control,,,,1,1,2,,,458
5/29/2025 17:06,5/29/2025 17:11,100,290,1,5/29/2025 17:11,4,I will not use AI to answer this survey,"Got up brushed my teeth and turned the coffee pot on. Gave the dogs their morning bone and poured myself a cup of coffee. I carried my coffee to the living room and turned on the news. After I drank 2 cups of coffee I drank a fruit smoothie for breakfast, took some medications and then got dressed for the day.",16.076,147.229,147.233,2,6,6,6,2,1,3,3,5,5,5,6,6,6,1,4,2,3,5,2,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,control,,,,1,1,2,,,462
5/29/2025 22:57,5/29/2025 23:04,100,418,1,5/29/2025 23:04,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,Something that happened was that I was unable to connect to the internet when I had to get a test done on time online but was unable to. I felt defeated and disappointed. ,25.413,176.165,176.167,4,3,3,4,2,3,1,5,4,5,2,5,2,1,2,4,5,8,7,6,4,9,1,2,3,1,5,7,2,1,7,1,6,2,1,5,7,4,8,3,6,in_control,prime,1,,,,,,1,2,464
5/29/2025 16:14,5/29/2025 16:18,100,282,1,5/29/2025 16:18,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,"My son wrecked on his dirt bike and came walking in the house bleeding all over. I immediately assessed the situation, got him semi cleaned up and took him to the hospital. I felt in control the whole time because I knew he was ok and it was not life threatening. ",10.764,133.602,133.605,9,6,6,6,1,2,3,4,1,7,3,3,1,2,6,4,8,6,5,3,2,4,9,7,1,2,6,6,2,1,2,6,6,5,3,2,6,1,7,8,4,in_control,control,,1,,,,,1,2,468
5/29/2025 18:43,5/29/2025 18:48,100,318,1,5/29/2025 18:48,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The place I feel the most in control is when I am driving a car. I am aware of my situation and environment, as well as the vehicle that I am driving. While driving I know where I am going, I know how to get there, and I have full control of everything in my environment from beginning to end. I have control of the air, the music, myself, and anyone in the car.",2.77,124.215,124.218,2,6,7,6,1,2,3,1,1,7,1,1,1,4,4,4,4,5,6,9,2,1,3,8,7,3,5,6,3,4,5,7,5,4,6,1,5,8,7,3,2,in_control,control,,1,,,,,1,2,471
5/30/2025 7:52,5/30/2025 8:00,100,452,1,5/30/2025 8:00,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,I felt in control of a situation when a large mirror in my home fell off a wall and shattered. I was able to clear the area of animals and get family members away from the broken glass. Then it was just a matter of picking up t,50.751,180.747,199.997,3,3,2,6,3,2,1,1,2,6,1,1,1,2,5,6,9,1,7,5,2,8,3,4,6,3,1,5,2,5,3,5,4,8,4,1,6,7,3,2,5,in_control,control,,1,,,,,1,2,472
5/29/2025 20:22,5/29/2025 20:25,100,207,1,5/29/2025 20:25,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I was driving my mother and father after my graduation from my master's degree when a vehicle cut off the car.  I moved immediately into the breakdown lane and slowed down to allow me to move back into the lane when the driver had passed.  I did it automatically and without thinking; both my parents were impressed by my skill.  I believe I was 25 at the time.  I didn't take time to think, I merely reacted in a logical way.",1.275,122.458,122.46,4,6,6,6,1,3,2,1,1,7,1,1,1,7,7,2,4,9,8,5,3,7,2,1,6,3,5,5,4,6,4,6,4,1,6,8,2,3,7,5,4,in_control,control,,1,,,,,1,2,473
5/29/2025 20:22,5/29/2025 20:25,100,211,1,5/29/2025 20:25,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I could not control the situation when our moving truck broke down when we were moving. The police were in charge of everything because a part had hit another car so we had to do what they said, and could not leave. Also there was nothing I could do to fix anything or repair anything so I just had to wait. I mostly felt frustrated and annoyed because I like fixing problems immediately and I hate having to wait for other people to do things, and it seemed like the situation was taking forever. I really was just irritated for the most part.",1.5,129.993,129.995,4,7,6,7,2,1,3,1,7,6,2,5,1,1,1,7,5,3,6,8,1,2,7,9,4,1,6,7,1,1,7,7,7,2,5,3,7,1,8,4,6,in_control,prime,1,,,,,,1,2,476
5/29/2025 16:35,5/29/2025 16:49,100,850,1,5/29/2025 16:49,4,I will not use AI to answer this survey,"my morning routine is to was my face and brush my teeth, from there have to dress up and go for my morning jogging to keep me very active and strong. after this exercise have to take my bath before having my breakfast, these are what i usually do for my morning routine   ",14.096,128.516,128.558,10,6,6,6,2,3,1,6,5,6,6,6,5,1,5,2,4,3,6,6,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,control,,,,1,1,2,,,479
5/29/2025 20:26,5/29/2025 20:30,100,210,1,5/29/2025 20:30,4,I will not use AI to answer this survey,"I was in a public situation where I had never been before, and I wasn't with anyone that I knew. I was unsure of what I was supposed to be doing and where I was supposed to go. But I hapepened to stumble upon a friend of my mother's and she also didn't really know what we were supposed to do, so she helped me out and we were both clueless together. ",3.605,152.906,152.927,6,4,5,6,2,1,3,4,3,4,3,4,5,2,1,6,5,4,3,4,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,prime,,,1,,2,1,,,481
5/29/2025 16:49,5/29/2025 16:53,100,269,1,5/29/2025 16:53,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,Few days back i was driving reaching the traffic light some one  speed off almost making me to move out of the road but i try to be in control of that,4.023,153.104,153.115,5,5,6,6,2,3,1,5,4,6,5,4,4,4,5,5,5,4,1,3,6,8,2,7,9,6,5,5,5,5,4,6,4,5,3,6,1,8,4,7,2,in_control,control,,1,,,,,2,1,482
5/30/2025 11:59,5/30/2025 12:03,100,240,1,5/30/2025 12:03,4,I will not use AI to answer this survey ,,,,,,,,,,,,,,,,,,,,,,,,,,,,About 10 years ago my eldest son suffered from a febrile seizure. This scary event put us into a childrens hospital for two weeks. I was terrified. I honestly felt like I was going to lose my child several times and have never felt more frightened. Not being able to help your child when they are sick is the most out of control one could ever feel and I don't wish it on any parent. ,1.076,121.11,121.111,2,5,7,3,3,2,1,7,3,7,2,5,1,1,3,6,2,3,7,9,1,8,5,4,6,1,7,7,1,1,7,7,7,3,8,4,5,6,7,1,2,in_control,prime,1,,,,,,1,2,483
5/30/2025 22:24,5/30/2025 22:27,100,184,1,5/30/2025 22:27,4,I will not use AI to answer this survey,"I wake up, usually by my cat meowing and jumping on me, or biting my thigh, or I will wake to the sound of my phone alarm. I immediately come out to the kitchen and begin making my coffee. While my coffee is brewing, I will usually browse on my phone. Once my coffee is done, I go outside and enjoy a cigarette and my coffee. When I return inside, I will attempt to wake my child up for school. Once he's awake, I will go and make his lunch for the day. I get our clothes for the day, hand him his clothes then hop in the shower. Then I get dressed and head out the door.",0.988,130.122,130.132,2,7,5,7,3,1,2,2,1,2,1,6,4,2,6,4,5,1,3,5,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,control,,,,1,2,1,,,484
5/29/2025 17:53,5/29/2025 17:58,100,291,1,5/29/2025 17:58,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I work every day with clients where I'm not in control of the situation. In the past 48 hours, I made a recommendation to a client about a tech platform and they're going with something else. Which is fine, it's their business, it's just not the best choice. I'll have to decide if I want to work on the implementation. This is normal. ",3.473,122.787,122.791,8,7,7,5,1,3,2,1,1,7,1,1,1,5,5,1,3,5,6,7,9,4,2,1,8,5,1,3,4,4,2,5,2,5,2,7,4,8,3,6,1,in_control,prime,1,,,,,,1,2,485
5/29/2025 22:59,5/29/2025 23:05,100,352,1,5/29/2025 23:05,4,I will not use AI to answer this survey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,One of my neighbors knocked on the door and she invited herself in. I told her that I was heading out for a doctor's appointment and asked her to leave but she wouldn't. She said she will wait for me to return so we could have lunch together. She wouldn't budge. This may seem minor but I felt utterly not in control. ,15.999,15.999,200.009,1,6,4,6,2,1,3,5,2,5,2,2,2,2,3,3,2,3,8,1,5,6,4,7,9,2,6,6,3,5,6,6,6,6,3,5,4,1,8,7,2,in_control,prime,1,,,,,,2,1,486
6/3/2025 10:47,6/3/2025 10:51,100,222,1,6/3/2025 10:51,4,I will not use AI to answer this survey,"I love alone and sold my house and one of my neighbors offered to come help me pack on the weekends. I had no family nearby or willing to help me pack things. She came over early on two Saturdays, with coffee and bagels and we spent those two days sorting things and packing things. I have since moved but she has came to see my new home and helped me do some gardening. I am grateful for her kindness and now her friendship.",13.717,148.286,148.31,2,7,7,7,1,2,3,5,6,6,3,6,4,3,1,2,4,6,5,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,prime,,,1,,2,1,,,488
5/29/2025 18:41,5/29/2025 18:44,100,187,1,5/29/2025 18:44,4,I will not use AI to answer this survey,When I wake up I immediately use the restroom and after I was my hands I rinse my mouth with mouthwash and get into the shower.  After my shower I put on lotion and while it absorbs I blow dry my hair and apply some makeup.  Then I get dressed and eat breakfast before brushing my teeth.  After I have finished getting myself ready I will prep some lunch and do a very quick walk through the house and do minor tidying before leaving the house for the day.,1.297,121.264,121.271,3,5,5,5,3,2,1,5,6,4,6,5,7,3,1,6,5,4,2,5,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,control,,,,1,1,2,,,490
5/29/2025 23:42,5/29/2025 23:47,100,285,1,5/29/2025 23:47,4,I will not use AI to answer this survey,"I felt sincerely grateful for my husband for being by my side when I was in the hospital. He never left my side. I was there a week. When I was able to come home, he was also there for me. ",23.588,154.788,154.829,2,7,7,7,3,2,1,5,5,5,1,5,6,4,2,6,3,1,5,5,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,prime,,,1,,2,1,,,492
5/30/2025 0:01,5/30/2025 0:09,100,439,1,5/30/2025 0:09,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eight or nine years ago, I tripped up a curb and found myself slamming into a tree. I was able to get up but found myself in pain and unable to breathe. I called a friend who took me to the emergency room, I had four broken ribs.",31.351,143.253,143.256,4,6,6,6,1,3,2,3,2,5,2,2,2,4,4,5,6,9,7,4,3,5,2,1,8,3,4,4,5,6,3,4,3,8,6,4,2,3,5,1,7,in_control,prime,1,,,,,,2,1,493
5/29/2025 16:48,5/29/2025 16:55,100,413,1,5/29/2025 16:55,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I had a recent DEXA scan, my first ever, and I was horribly uncomfortable on the hard metal table. I wanted desperately to get up and not do the test, because as uncomfortable as I was, I was not allowed to move. Not that it would have mattered, as no position lying flat on my back is comfortable for me. I was upset. Yes, I could have said, screw it, got up and left, but then I would not have found out that I, indeed, have severe osteoporosis. It was, however, a horrible feeling, having to do as the tech said, despite the fact that it was so uncomfortable. That was over a week ago, and my back still hurts from it, and that sort of makes me angry. Not at the tech, he didn't cause it, just doing his job, but at the way the test is set up for elderly people with joint issues.",12.392,12.392,200.016,1,6,5,7,3,1,2,4,1,7,1,1,1,1,4,1,4,8,5,3,9,1,2,6,7,1,4,6,4,1,6,6,6,5,3,7,4,2,1,8,6,in_control,prime,1,,,,,,1,2,494
5/29/2025 23:38,5/29/2025 23:41,100,189,1,5/29/2025 23:41,4,I will not use AI to answer this survey,"I get up, go to the bathroom, feed the indoor cats, make coffee, feed the outdoor cats and birds.
Then I drink coffee and sit at my computer looking at emails and random online stuff. 
After that I get cleaned up and start my day. What I do depends on the weather and how many, if any clients I have scheduled.",6.357,122.057,122.062,2,1,1,1,2,1,3,1,1,1,1,5,5,5,4,1,6,3,2,5,7,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratitude,control,,,,1,2,1,,,500
5/29/2025 17:49,5/29/2025 18:02,100,760,1,5/29/2025 18:02,4,I will not use AI to answer this survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,While driving my car overheated and when I got car off the interstate to an intersection my car totally died in the intersection and blocking traffic. I had no one with me and was making people mad that I was in their way and no one stopped to help me.  I felt angry and very upset over this,48.65,164.483,164.488,2,6,6,6,1,2,3,1,1,7,1,1,1,1,5,4,9,3,4,6,7,5,8,2,1,1,7,7,5,1,7,7,7,3,8,2,6,5,7,4,1,in_control,prime,1,,,,,,1,2,503
