StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q_BallotBoxStuffing,t_intro _First Click,t_intro _Last Click,t_intro _Page Submit,t_intro _Click Count,meta_Browser,meta_Version,meta_Operating System,meta_Resolution,t_CTXTintro_First Click,t_CTXTintro_Last Click,t_CTXTintro_Page Submit,t_CTXTintro_Click Count,Intro,t_Printer_TC_First Click,t_Printer_TC_Last Click,t_Printer_TC_Page Submit,t_Printer_TC_Click Count,Bin.Printer_TC,t_Cell_Comp_First Click,t_Cell_Comp_Last Click,t_Cell_Comp_Page Submit,t_Cell_Comp_Click Count,Comp_Cell,t_TV_Attr_First Click,t_TV_Attr_Last Click,t_TV_Attr_Page Submit,t_TV_Attr_Click Count,Attr_TV,t_TV_Comp_First Click,t_TV_Comp_Last Click,t_TV_Comp_Page Submit,t_TV_Comp_Click Count,Comp_TV,t_Cell_Attr_First Click,t_Cell_Attr_Last Click,t_Cell_Attr_Page Submit,t_Cell_Attr_Click Count,Attr_Cell,t_TV_TC_First Click,t_TV_TC_Last Click,t_TV_TC_Page Submit,t_TV_TC_Click Count,Bin.TV_TC,t_Printer_Attr_First Click,t_Printer_Attr_Last Click,t_Printer_Attr_Page Submit,t_Printer_Attr_Click Count,Attr_Printer,t_Printer_Comp_First Click,t_Printer_Comp_Last Click,t_Printer_Comp_Page Submit,t_Printer_Comp_Click Count,Comp_Printer,t_Cell_TC_First Click,t_Cell_TC_Last Click,t_Cell_TC_Page Submit,t_Cell_TC_Click Count,Bin.Cell_TC,FL_213_DO_FL_215,FL_213_DO_FL_241,FL_213_DO_FL_255,FL_213_DO_FL_292,FL_213_DO_FL_274,FL_213_DO_FL_304,FL_224_DO_Bin.Printet_TC,FL_224_DO_Comp.Cell,FL_224_DO_Attr.TV,FL_244_DO_Bin.Printet_TC,FL_244_DO_Comp.TV,FL_244_DO_Attr.Cell,FL_258_DO_Bin.TV_TC,FL_258_DO_Comp.Cell,FL_258_DO_Attr.Printer,FL_295_DO_Bin.TV_TC,FL_295_DO_Attr.Cell,FL_295_DO_Comp.Printer,FL_277_DO_Bin.Cell_TC,FL_277_DO_Attr.Printer,FL_277_DO_Comp.TV,FL_307_DO_Bin.Cell_TC,FL_307_DO_Attr.TV,FL_307_DO_Comp.Printer,TWIN_ID
5/30/2025 9:11,5/30/2025 9:14,100,172,1,5/30/2025 9:14,1,,0,0,,,13.639,16.539,17.978,2,Firefox,138,Windows NT 10.0,1227x690,26.869,26.869,29.769,1,3,24.754,24.754,26.012,1,2,50.331,56.949,58.765,2,2,13.87,13.87,15.302,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,3,2,,,,,,,,,,,,,,,,45
5/30/2025 9:42,5/30/2025 9:45,100,168,1,5/30/2025 9:45,0.8999999761581421,,0,5,,,0,0,6.155,0,Firefox,138,Windows NT 10.0,2048x1152,57.137,58.027,59.507,2,3,,,,,,,,,,,,,,,,,,,,,31.392,34.094,38.621,2,2,10.613,17.646,26.37,3,2,,,,,,12.325,20.815,30.274,2,2,,,,,,,,,1,,,,,,,,,,,,3,1,2,,,,,,,46
5/30/2025 9:19,5/30/2025 9:21,100,118,1,5/30/2025 9:21,1,,0,20,,,0,0,8.786,0,Chrome,137.0.0.0,Windows NT 10.0,1353x761,24.746,24.746,26.133,1,2,24.348,24.348,25.327,1,2,22.951,22.951,26.441,1,2,19.648,19.648,20.906,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,2,1,,,,,,,,,,,,,,,,50
5/30/2025 9:09,5/30/2025 9:11,100,141,1,5/30/2025 9:11,1,,0,0,,,7.753,12.333,13.586,2,Chrome,136.0.0.0,CrOS x86_64 14541.0.0,1366x768,1.24,33.539,34.776,3,2,,,,,,,,,,,,,,,,,,,,,27.537,27.537,28.586,1,2,26.823,26.823,28.03,1,1,,,,,,1.133,22.906,24.072,2,2,,,,,,,,,1,,,,,,,,,,,,2,3,1,,,,,,,51
5/30/2025 9:13,5/30/2025 9:16,100,170,1,5/30/2025 9:16,1,,0,0,,,0,0,12.622,0,Chrome,136.0.0.0,Windows NT 10.0,1536x864,28.657,28.657,31.432,1,2,27.923,27.923,29.467,1,1,36.766,36.766,38.848,1,3,20.937,20.937,26.514,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,1,3,,,,,,,,,,,,,,,,52
5/30/2025 10:59,5/30/2025 11:02,100,154,1,5/30/2025 11:02,0.8999999761581421,,0,0,,,0,0,5.515,0,Chrome,137.0.0.0,Windows NT 10.0,2560x1440,49.726,49.726,50.834,1,2,,,,,,,,,,,,,,,,,,,,,44.245,44.245,46.937,1,2,23.899,23.899,25.079,1,1,,,,,,15.838,15.838,18.361,1,2,,,,,,,,,1,,,,,,,,,,,,2,1,3,,,,,,,53
5/30/2025 9:16,5/30/2025 9:18,100,62,1,5/30/2025 9:18,1,,0,0,,,0,0,6.319,0,Chrome,136.0.0.0,Windows NT 10.0,1730x973,3.267,12.322,13.77,3,2,,,,,,8.39,8.39,9.933,1,1,,,,,,,,,,,,,,,,4.444,6.316,6.867,3,2,16.357,16.357,17.116,1,2,,,,,,,,,,,,,1,,,,,,,,,,3,2,1,,,,,,,,,,54
5/30/2025 10:26,5/30/2025 10:30,100,222,1,5/30/2025 10:30,0.8999999761581421,,0,0,,,4.532,8.714,9.591,7,Chrome,136.0.0.0,CrOS x86_64 14541.0.0,1280x720,12.967,27.143,29.2,4,2,,,,,,23.358,55.702,56.484,4,3,,,,,,,,,,,,,,,,10.104,34.091,34.951,3,1,15.004,70.011,71.25,3,3,,,,,,,,,,,,,1,,,,,,,,,,2,3,1,,,,,,,,,,55
5/30/2025 9:49,5/30/2025 9:50,100,89,1,5/30/2025 9:50,0.8999999761581421,,0,0,,,8.236,8.236,10.061,1,Chrome,136.0.0.0,Linux x86_64,412x883,3.086,8.605,9.4,5,2,,,,,,1.718,19.117,19.753,7,3,,,,,,,,,,,,,,,,1.725,11.557,12.759,4,1,1.682,19.169,20.486,8,2,,,,,,,,,,,,,1,,,,,,,,,,3,2,1,,,,,,,,,,57
5/30/2025 9:18,5/30/2025 9:20,100,126,1,5/30/2025 9:20,1,,0,5,,,0,0,17.966,0,Chrome,137.0.0.0,Windows NT 10.0,1366x768,35.101,35.101,37.509,1,3,16.326,16.326,19.157,1,1,13.654,13.654,20.103,1,2,14.296,14.296,19.766,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2,3,,,,,,,,,,,,,,,,58
5/30/2025 9:12,5/30/2025 9:15,100,161,1,5/30/2025 9:15,1,,0,0,,,0,0,6.866,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,38.323,38.323,49.513,1,2,19.821,19.821,21.54,1,2,37.022,37.022,39.33,1,3,19.942,19.942,21.858,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,1,2,,,,,,,,,,,,,,,,60
5/30/2025 10:54,5/30/2025 10:56,100,120,1,5/30/2025 10:56,0.8999999761581421,,0,0,,,0,0,28.625,0,Chrome,103.0.0.0,CrOS x86_64 14816.131.0,1366x768,45.14,45.14,46.501,1,1,,,,,,9.626,9.626,10.802,1,1,,,,,,,,,,,,,,,,8.053,8.053,9.17,1,1,9.397,9.397,12.098,1,2,,,,,,,,,,,,,1,,,,,,,,,,3,1,2,,,,,,,,,,61
5/30/2025 9:11,5/30/2025 9:13,100,113,1,5/30/2025 9:13,1,,0,0,,,0,0,7.193,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,17.444,17.444,20.566,1,2,20.401,20.401,23.172,1,1,,,,,,,,,,,18.594,18.594,19.475,1,3,34.655,34.655,36.441,1,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,2,1,,,,,,,,,,,,,63
5/30/2025 9:19,5/30/2025 9:21,100,106,1,5/30/2025 9:21,0.8999999761581421,,0,20,,,0,0,5.418,0,Chrome,136.0.0.0,Macintosh,1440x900,15.304,21.884,24.211,2,1,29.8,29.8,30.823,1,1,,,,,,,,,,,7.613,8.297,10.886,2,2,10.743,10.743,12.217,1,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,1,3,,,,,,,,,,,,,66
5/30/2025 9:24,5/30/2025 9:27,100,192,1,5/30/2025 9:27,1,,0,0,,,0,0,6.575,0,Firefox,138,Windows NT 10.0,1920x1080,62.967,62.967,64.346,1,1,,,,,,,,,,,35.31,35.31,40.201,1,2,,,,,,,,,,,,,,,,,,,,,27.457,27.457,28.706,1,2,37.015,37.015,38.384,1,1,,,,,,1,,,,,,,,,,,,,,,,1,2,3,70
5/30/2025 9:36,5/30/2025 9:37,100,72,1,5/30/2025 9:37,1,,0,0,,,6.075,6.632,7.357,3,Chrome,136.0.0.0,Windows NT 10.0,1366x768,2.639,17.101,18.362,5,2,,,,,,,,,,,0.95,5.886,8.368,3,2,,,,,,,,,,,,,,,,,,,,,0.746,12.47,13.85,4,2,1.747,14.198,15.01,6,1,,,,,,1,,,,,,,,,,,,,,,,2,1,3,72
5/30/2025 9:41,5/30/2025 9:44,100,138,1,5/30/2025 9:44,0.8999999761581421,,0,0,,,0,0,9.628,0,Firefox,138,Windows NT 10.0,1472x828,40.755,40.755,41.837,1,2,,,,,,,,,,,,,,,,,,,,,26.555,26.555,27.709,1,2,33.987,33.987,35.54,1,1,,,,,,11.03,11.03,15.376,1,2,,,,,,,,,1,,,,,,,,,,,,1,3,2,,,,,,,74
5/30/2025 9:43,5/30/2025 9:45,100,117,1,5/30/2025 9:45,1,,0,0,,,8.919,8.919,10.793,1,Edge,136.0.0.0,Windows NT 10.0,1536x864,28.301,36.44,37.596,2,2,,,,,,,,,,,,,,,,,,,,,9.116,18.61,20.184,2,2,9.155,11.217,12.201,2,2,,,,,,11.124,20.589,25.161,2,2,,,,,,,,,1,,,,,,,,,,,,3,2,1,,,,,,,75
5/30/2025 9:54,5/30/2025 9:56,100,122,1,5/30/2025 9:56,1,,0,20,,,0,0,7.403,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,45.113,45.113,46.431,1,2,,,,,,,,,,,14.88,14.88,22.8,1,3,,,,,,,,,,,,,,,,,,,,,14.364,14.364,15.598,1,2,11.342,11.342,12.7,1,1,,,,,,1,,,,,,,,,,,,,,,,3,1,2,76
5/30/2025 9:27,5/30/2025 9:29,100,121,1,5/30/2025 9:29,0.8999999761581421,,0,75,,,75.59,75.59,78.093,1,Chrome,136.0.0.0,Linux x86_64,1400x1050,2.5,3.971,4.701,2,2,,,,,,,,,,,5.4,8.481,12.1,3,2,,,,,,,,,,,,,,,,,,,,,1.784,1.784,2.506,1,2,2.185,3.232,4.219,2,1,,,,,,1,,,,,,,,,,,,,,,,3,2,1,78
5/30/2025 9:18,5/30/2025 9:20,100,108,1,5/30/2025 9:20,1,,0,0,,,0,0,15.669,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,26.344,26.344,27.448,1,2,,,,,,22.49,22.606,23.842,2,3,,,,,,,,,,,,,,,,8.415,8.439,10.372,2,1,16.893,16.939,18.575,2,3,,,,,,,,,,,,,1,,,,,,,,,,3,2,1,,,,,,,,,,79
5/30/2025 10:56,5/30/2025 10:58,100,123,1,5/30/2025 10:58,1,,0,0,,,3.471,3.471,4.575,1,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,26.798,26.798,30.298,1,2,,,,,,,,,,,23.792,23.792,24.835,1,2,,,,,,,,,,,,,,,,,,,,,23.974,23.974,25.704,1,1,23.438,23.438,24.817,1,1,,,,,,1,,,,,,,,,,,,,,,,3,1,2,80
5/30/2025 10:05,5/30/2025 10:08,100,180,1,5/30/2025 10:08,0.8999999761581421,,0,20,,,0,0,25.7,0,Chrome,136.0.0.0,Windows NT 10.0,2560x1440,32.467,32.467,34.862,1,2,,,,,,,,,,,,,,,,45.098,45.098,46.195,1,2,,,,,,,,,,,36.819,36.819,37.7,1,3,,,,,,20.912,20.912,25.348,1,2,,,,,1,,,,,,,,,,,,,,1,3,2,,,,81
5/30/2025 9:09,5/30/2025 9:13,100,278,1,5/30/2025 9:13,1,,0,0,,,0,0,56.365,0,Chrome,136.0.0.0,Windows NT 10.0,1536x864,52.243,52.243,58.363,1,2,30.565,30.565,35.912,1,1,,,,,,,,,,,35.286,35.286,40.543,1,2,53.909,53.909,57.692,1,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,1,3,,,,,,,,,,,,,83
5/30/2025 9:10,5/30/2025 9:12,100,134,1,5/30/2025 9:12,0.6000000238418579,,0,0,,,0,0,7.377,0,Chrome,136.0.0.0,Windows NT 10.0,1280x800,23.298,23.298,35.271,1,1,,,,,,,,,,,,,,,,17.407,17.407,20.492,1,3,,,,,,,,,,,26.115,26.115,28.759,1,2,,,,,,29.2,29.2,30.38,1,1,,,,,1,,,,,,,,,,,,,,1,2,3,,,,85
5/30/2025 10:15,5/30/2025 10:17,100,146,1,5/30/2025 10:17,1,,0,0,,,6.96,8.934,10.077,2,Edge,136.0.0.0,Windows NT 10.0,1366x768,24.413,46.323,48.069,4,1,13.942,15.576,17.27,2,1,,,,,,,,,,,17.892,25.934,29.093,2,2,8.205,22.316,27.769,4,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,1,3,,,,,,,,,,,,,90
5/30/2025 10:20,5/30/2025 10:22,100,133,1,5/30/2025 10:22,1,,0,0,,,0,0,17.175,0,Chrome,93.0.4577.107,CrOS x86_64 14092.77.0,1187x667,46.559,46.559,48,1,2,9.971,9.971,12.036,1,2,18.776,18.776,20.177,1,3,11.78,11.78,14.757,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,1,2,,,,,,,,,,,,,,,,91
5/30/2025 9:09,5/30/2025 9:12,100,159,1,5/30/2025 9:12,1,,0,20,,,0,0,6.716,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,32.142,32.142,35.144,1,2,33.431,33.431,34.435,1,2,40.363,40.363,41.754,1,3,19.852,19.852,20.994,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,1,3,,,,,,,,,,,,,,,,93
5/30/2025 10:53,5/30/2025 10:56,100,228,1,5/30/2025 10:56,1,,0,30,,,2.613,2.613,14.099,1,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,8.437,40.854,44.698,2,3,,,,,,,,,,,,,,,,,,,,,8.946,58.933,60.246,2,2,31.647,31.647,33.028,1,1,,,,,,9.898,41.466,45.764,2,2,,,,,,,,,1,,,,,,,,,,,,3,2,1,,,,,,,101
5/30/2025 9:18,5/30/2025 9:22,100,240,1,5/30/2025 9:22,1,,0,20,,,0,0,32.242,0,Chrome,136.0.0.0,Windows NT 10.0,2560x1440,8.569,40.296,46.923,7,2,3.444,31.053,37.25,4,2,8.405,50.925,62.533,5,2,10.304,29.8,42.854,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2,3,,,,,,,,,,,,,,,,104
5/30/2025 12:04,5/30/2025 12:06,100,131,1,5/30/2025 12:06,1,,0,0,,,0,0,6.365,0,Chrome,137.0.0.0,Windows NT 10.0,1536x864,46.006,46.006,47.646,1,2,21.25,21.25,22.443,1,1,,,,,,,,,,,12.399,12.399,13.864,1,3,14.016,30.788,31.754,2,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,2,3,,,,,,,,,,,,,105
5/30/2025 11:08,5/30/2025 11:10,100,146,1,5/30/2025 11:10,1,,0,0,,,0,0,29.078,0,Chrome,137.0.0.0,Windows NT 10.0,1536x864,30.256,30.256,35.172,1,2,16.907,16.907,18.48,1,1,,,,,,,,,,,21.62,21.62,22.359,1,3,23.476,23.476,24.397,1,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,1,3,,,,,,,,,,,,,106
5/30/2025 10:25,5/30/2025 10:27,100,96,1,5/30/2025 10:27,1,,0,0,,,0,0,7.514,0,Chrome,136.0.0.0,Windows NT 10.0,1210x681,29.361,29.361,30.415,1,1,,,,,,,,,,,,,,,,,,,,,16.969,19.335,20.153,2,3,5.074,5.074,6.673,1,1,,,,,,22.034,22.034,23.081,1,2,,,,,,,,,1,,,,,,,,,,,,3,2,1,,,,,,,108
5/30/2025 9:46,5/30/2025 9:59,100,744,1,5/30/2025 9:59,1,,0,30,,,24.247,72.703,76.586,3,Chrome,136.0.0.0,Windows NT 10.0,1366x768,27.961,144.071,146.956,3,2,,,,,,,,,,,12.57,151.024,153.045,4,3,,,,,,,,,,,,,,,,,,,,,6.973,158.52,159.991,3,3,2.269,95.27,99.439,3,2,,,,,,1,,,,,,,,,,,,,,,,3,2,1,110
5/30/2025 9:26,5/30/2025 9:29,100,190,1,5/30/2025 9:29,1,,0,0,,,0,0,17.455,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,43.628,46.85,48.438,2,2,,,,,,,,,,,,,,,,,,,,,45.345,45.345,50.787,1,2,20.194,20.194,22.882,1,1,,,,,,33.281,33.281,35.081,1,2,,,,,,,,,1,,,,,,,,,,,,3,2,1,,,,,,,112
5/30/2025 9:09,5/30/2025 9:12,100,132,1,5/30/2025 9:12,1,,0,0,,,0,0,24.137,0,Chrome,136.0.0.0,Windows NT 10.0,1280x720,24.014,24.014,25.204,1,2,,,,,,20.58,20.58,21.601,1,3,,,,,,,,,,,,,,,,18.001,18.001,20.998,1,2,26.242,26.242,27.135,1,3,,,,,,,,,,,,,1,,,,,,,,,,1,3,2,,,,,,,,,,115
5/30/2025 12:23,5/30/2025 12:24,100,103,1,5/30/2025 12:24,1,,0,0,,,0,0,9.787,0,Chrome,136.0.0.0,Windows NT 10.0,900x1600,23.662,27.419,28.217,4,2,,,,,,,,,,,,,,,,3.716,3.716,4.549,1,2,,,,,,,,,,,24.815,24.815,25.371,1,2,,,,,,0.145,6.421,7.106,4,1,,,,,1,,,,,,,,,,,,,,3,2,1,,,,117
5/30/2025 9:12,5/30/2025 9:17,100,299,1,5/30/2025 9:17,1,,0,0,,,0,0,16.879,0,Chrome,136.0.0.0,CrOS x86_64 14541.0.0,1920x1080,42.409,42.409,45.274,1,1,,,,,,,,,,,57.817,57.817,60.715,1,2,,,,,,,,,,,,,,,,,,,,,57.424,57.424,60.767,1,2,76.9,76.9,80.463,1,1,,,,,,1,,,,,,,,,,,,,,,,2,3,1,118
5/30/2025 9:42,5/30/2025 9:45,100,206,1,5/30/2025 9:45,0.8999999761581421,,0,0,,,6.507,23.055,24.205,8,Chrome,137.0.0.0,Windows NT 10.0,1536x864,37.948,59.025,59.859,3,2,17.081,31.863,32.704,4,1,,,,,,,,,,,22.648,34.386,35.103,3,2,19.986,37.803,38.713,2,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,3,2,,,,,,,,,,,,,120
5/30/2025 9:35,5/30/2025 9:38,100,173,1,5/30/2025 9:38,1,,0,0,,,0,0,13.723,0,Edge,136.0.0.0,Windows NT 10.0,1536x864,58.928,58.928,59.973,1,2,29.456,29.456,30.39,1,2,28.977,28.977,29.783,1,2,29.093,29.093,30.666,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2,3,,,,,,,,,,,,,,,,121
5/30/2025 9:11,5/30/2025 9:13,100,150,1,5/30/2025 9:13,1,,0,0,,,0,0,6.373,0,Chrome,137.0.0.0,Macintosh,1470x956,73.952,73.952,75.495,1,1,,,,,,,,,,,,,,,,7.834,7.834,9.453,1,3,,,,,,,,,,,21.673,21.673,23.38,1,2,,,,,,22.318,22.318,25.116,1,1,,,,,1,,,,,,,,,,,,,,3,2,1,,,,123
5/30/2025 9:55,5/30/2025 10:13,100,1084,1,5/30/2025 10:13,0.8999999761581421,,0,0,,,0,0,864.924,0,Firefox,138,Windows NT 10.0,1920x1080,37.623,37.623,38.602,1,2,29.484,29.484,30.304,1,1,70.805,70.805,71.439,1,2,53.188,55.008,55.664,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,1,2,,,,,,,,,,,,,,,,125
5/30/2025 11:24,5/30/2025 11:26,100,109,1,5/30/2025 11:26,0.8999999761581421,,0,20,,,4.945,4.945,6.061,1,Firefox,139,Windows NT 10.0,1536x960,7.468,19.411,21.947,2,2,,,,,,,,,,,,,,,,,,,,,7.962,31.172,35.003,2,3,3.066,18.194,19.424,5,2,,,,,,4.839,16.714,17.768,2,2,,,,,,,,,1,,,,,,,,,,,,3,1,2,,,,,,,126
5/30/2025 9:08,5/30/2025 9:11,100,172,1,5/30/2025 9:11,1,,0,0,,,6.851,23.101,24.529,14,Edge,137.0.0.0,Windows NT 10.0,1536x864,18.578,48.419,49.448,5,1,,,,,,13.325,30.55,33.929,2,2,,,,,,,,,,,,,,,,4.856,22.474,23.972,2,1,7.07,24.746,30.075,5,2,,,,,,,,,,,,,1,,,,,,,,,,3,1,2,,,,,,,,,,128
5/30/2025 9:47,5/30/2025 9:50,100,177,1,5/30/2025 9:50,1,,0,10,,,74.814,74.814,75.722,1,Chrome,136.0.0.0,Windows NT 10.0,1536x864,29.831,29.831,37.931,1,2,,,,,,,,,,,,,,,,,,,,,3.747,20.227,21.066,3,2,11.815,11.815,12.99,1,2,,,,,,1.867,11.8,12.592,2,3,,,,,,,,,1,,,,,,,,,,,,2,1,3,,,,,,,129
5/30/2025 9:54,5/30/2025 9:56,100,127,1,5/30/2025 9:56,0.699999988,,0,20,,,0,0,12.701,0,Chrome,136.0.0.0,Macintosh,1728x1117,31.482,31.482,32.788,1,2,23.36,23.36,24.697,1,1,,,,,,,,,,,16.932,16.932,18.735,1,2,19.512,19.512,20.952,1,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,1,3,,,,,,,,,,,,,130
5/30/2025 9:09,5/30/2025 9:11,100,118,1,5/30/2025 9:11,0.30000001192092896,,0,0,,,0,0,11.313,0,Chrome,137.0.0.0,Windows NT 10.0,1920x1080,29.164,29.164,30.188,1,2,,,,,,,,,,,16.386,16.932,18.077,2,2,,,,,,,,,,,,,,,,,,,,,22.101,22.101,23.555,1,2,23.204,23.204,24.579,1,1,,,,,,1,,,,,,,,,,,,,,,,3,2,1,132
5/30/2025 11:56,5/30/2025 11:59,100,207,1,5/30/2025 11:59,1,,0,0,,,0,0,23.548,0,Opera,119.0.0.0,Windows NT 10.0,1412x795,48.371,48.371,49.758,1,2,29.988,29.988,31.774,1,1,41.36,41.36,42.755,1,3,33.815,33.815,35.923,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,3,2,,,,,,,,,,,,,,,,133
5/30/2025 9:22,5/30/2025 9:26,100,233,1,5/30/2025 9:26,1,,0,0,,,2.914,5.741,6.585,2,Firefox,138,Windows NT 10.0,1366x768,17.636,38.4,39.81,3,2,0.962,13.52,15.448,3,1,,,,,,,,,,,3.304,13.844,14.681,2,2,3.744,25.755,28.171,3,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,2,1,,,,,,,,,,,,,136
5/30/2025 9:08,5/30/2025 9:11,100,177,1,5/30/2025 9:11,1,,0,0,,,0,0,7.559,0,Edge,136.0.0.0,Windows NT 10.0,1920x1080,41.181,49.767,53.515,2,1,,,,,,,,,,,28.821,28.821,30.792,1,2,,,,,,,,,,,,,,,,,,,,,30.486,30.486,34.458,1,2,29.325,29.325,32.556,1,1,,,,,,1,,,,,,,,,,,,,,,,3,2,1,137
5/30/2025 12:18,5/30/2025 12:21,100,157,1,5/30/2025 12:21,1,,0,0,,,0,0,8.922,0,Firefox,115,Windows NT 6.1,1600x900,35.222,35.222,37.199,1,2,8.444,8.444,12.164,1,1,,,,,,,,,,,17.984,17.984,21.066,1,3,35.576,35.576,36.475,1,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,3,1,,,,,,,,,,,,,141
5/30/2025 10:41,5/30/2025 10:44,100,177,1,5/30/2025 10:44,1,,0,0,,,0,0,13.425,0,Chrome,137.0.0.0,Windows NT 10.0,1366x768,24.736,24.736,28.04,1,2,26.522,26.522,31.665,1,1,,,,,,,,,,,21.836,21.836,24.509,1,2,66.737,66.737,69.167,1,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,1,2,,,,,,,,,,,,,142
5/30/2025 9:54,5/30/2025 9:57,100,168,1,5/30/2025 9:57,1,,0,0,,,21.712,32.504,33.503,8,Chrome,136.0.0.0,Windows NT 10.0,1093x615,16.426,36.246,37.485,4,3,,,,,,,,,,,,,,,,20.136,30.851,34.428,4,3,,,,,,,,,,,13.301,18.368,19.709,2,3,,,,,,10.009,23.538,25.447,3,1,,,,,1,,,,,,,,,,,,,,3,2,1,,,,143
5/30/2025 9:34,5/30/2025 9:38,100,232,1,5/30/2025 9:38,1,,0,75,,,0,0,53.812,0,Chrome,136.0.0.0,Windows NT 10.0,1536x1024,36.368,36.368,38,1,2,,,,,,6.004,44.566,46.838,2,3,,,,,,,,,,,,,,,,12.619,12.619,14.494,1,2,18.584,18.584,20.664,1,3,,,,,,,,,,,,,1,,,,,,,,,,3,2,1,,,,,,,,,,147
5/30/2025 9:40,5/30/2025 9:42,100,89,1,5/30/2025 9:42,1,,0,0,,,0,0,4.033,0,Chrome,137.0.0.0,Windows NT 10.0,1680x1050,17.418,17.418,18.63,1,2,17.448,17.448,18.588,1,2,18.243,19.683,20.492,2,2,17.34,17.853,19.496,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,3,2,,,,,,,,,,,,,,,,149
5/30/2025 9:22,5/30/2025 9:26,100,220,1,5/30/2025 9:26,1,,0,0,,,0,0,7.184,0,Chrome,136.0.0.0,Macintosh,1440x900,66.003,66.003,68.785,1,1,,,,,,,,,,,,,,,,,,,,,25.405,25.405,38.298,1,2,22.554,22.554,28.568,1,1,,,,,,63.47,63.47,69.569,1,2,,,,,,,,,1,,,,,,,,,,,,1,3,2,,,,,,,151
5/30/2025 9:08,5/30/2025 9:10,100,130,1,5/30/2025 9:10,1,,0,0,,,0,0,5.227,0,Chrome,136.0.0.0,Windows NT 10.0,1920x1080,53.252,53.252,63.646,1,1,,,,,,,,,,,11.432,11.432,12.649,1,2,,,,,,,,,,,,,,,,,,,,,9.349,9.349,10.699,1,2,25.618,25.618,27.23,1,2,,,,,,1,,,,,,,,,,,,,,,,1,2,3,152
5/30/2025 9:08,5/30/2025 9:12,100,247,1,5/30/2025 9:12,0.8999999761581421,,0,0,,,0,0,8.196,0,Firefox,138,Macintosh,2304x1296,49.016,49.016,55.664,1,1,,,,,,45.382,48.151,55.163,2,2,,,,,,,,,,,,,,,,29.736,29.736,36.189,1,2,39.499,39.499,57.387,1,2,,,,,,,,,,,,,1,,,,,,,,,,2,3,1,,,,,,,,,,154
5/30/2025 9:13,5/30/2025 9:17,100,227,1,5/30/2025 9:17,1,,0,0,,,0,0,28.598,0,Chrome,136.0.0.0,Windows NT 10.0,1536x864,56.457,56.457,59.47,1,2,,,,,,,,,,,,,,,,,,,,,32.733,32.733,35.758,1,3,37.135,40.266,46.978,2,2,,,,,,32.181,32.181,35.035,1,3,,,,,,,,,1,,,,,,,,,,,,1,2,3,,,,,,,158
5/30/2025 9:46,5/30/2025 9:48,100,126,1,5/30/2025 9:48,1,,0,0,,,2.764,4.992,6.5,3,Edge,136.0.0.0,Windows NT 10.0,1536x960,2.263,44.545,45.561,3,2,,,,,,,,,,,2.348,18.065,19.687,3,2,,,,,,,,,,,,,,,,,,,,,2.283,16.045,16.746,3,3,2.359,21.812,22.661,3,2,,,,,,1,,,,,,,,,,,,,,,,1,3,2,164
