StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,botcheck1,botcheck2,Q403_Browser,Q403_Version,Q403_Operating System,Q403_Resolution,Q635,rating_1_1,rating_2_1,rating_3_1,rating_4_1,rating_5_1,rating_6_1,rating_7_1,rating_8_1,rating_9_1,rating_10_1,Q313,Q313_3_TEXT,Q326,oonservative,Q315,Q315_4_TEXT,lean,strong_rep,strong_dem,OpenEndedComments,rid,age,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,party_1,party_2,party_3,party_4,party_5,party_6,party_7,party_8,party_9,party_10,party_11,occupation_1,occupation_2,occupation_3,occupation_4,occupation_5,occupation_6,occupation_7,occupation_8,occupation_9,occupation_10,history_1,history_2,history_3,history_4,history_5,history_6,history_7,history_8,history_9,history_10,donation_1,donation_2,donation_3,donation_4,donation_5,donation_6,donation_7,donation_8,donation_9,donation_10,TWIN_ID
4/21/25 14:13,4/21/25 14:19,100,357,1,4/21/25 14:19,17,1,Chrome,135.0.0.0,Windows NT 10.0,1600x900,4,6,7,8,8,9,7,7,7,8,8,2,,36,2,2,,,,2,,,,,,,,,,,,Democrat,Republican,Democrat,Republican,Democrat,Democrat,Republican,Republican,Democrat,Republican,,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,used to only donate to Democrats,used to only donate to Republicans,used to donate to politicians from both parties,used to donate to politicians from both parties,used to donate to politicians from both parties,never used to donate to politicians,used to donate to politicians from both parties,never used to donate to politicians,never used to donate to politicians,used to donate to politicians from both parties,I currently only donate to Democrats,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans,I currently don't donate to any politician,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans,I currently don't donate to any politician,I currently don't donate to any politician,952
4/21/25 13:11,4/21/25 13:13,100,106,1,4/21/25 13:13,17,1,Chrome,135.0.0.0,Windows NT 10.0,1280x720,4,8,7,9,4,9,4,9,6,6,9,2,,27,6,1,,,2,,,,,,,,,,,,,Democrat,Democrat,Democrat,Republican,Republican,Democrat,Republican,Republican,Republican,Democrat,,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,used to donate to politicians from both parties,used to only donate to Democrats,used to donate to politicians from both parties,used to donate to politicians from both parties,used to donate to politicians from both parties,used to only donate to Democrats,never used to donate to politicians,used to donate to politicians from both parties,never used to donate to politicians,used to donate to politicians from both parties,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently don't donate to any politician,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently don't donate to any politician,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently only donate to Republicans,I currently only donate to Republicans,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,954
4/21/25 14:17,4/21/25 14:20,100,183,1,4/21/25 14:20,17,1,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,4,6,6,6,6,6,6,6,6,6,6,2,,47,4,3,,3,,,,,,,,,,,,,,Republican,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Republican,Democrat,Republican,,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",used to donate to politicians from both parties,never used to donate to politicians,used to donate to politicians from both parties,used to only donate to Democrats,used to donate to politicians from both parties,used to donate to politicians from both parties,used to donate to politicians from both parties,never used to donate to politicians,used to donate to politicians from both parties,used to only donate to Republicans,I currently don't donate to any politician,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently don't donate to any politician,I currently donate to both Democrats and Republicans,I currently don't donate to any politician,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently don't donate to any politician,957
4/21/25 12:05,4/21/25 12:08,100,218,1,4/21/25 12:08,17,1,Chrome,122.0.0.0,Windows NT 10.0,1920x1080,4,1,5,1,5,4,1,1,4,1,1,1,,37,1,2,,,,1,,,,,,,,,,,,Republican,Republican,Republican,Democrat,Democrat,Republican,Democrat,Democrat,Republican,Democrat,,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,used to donate to politicians from both parties,used to only donate to Republicans,used to donate to politicians from both parties,never used to donate to politicians,never used to donate to politicians,used to only donate to Republicans,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,never used to donate to politicians,I currently only donate to Republicans,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently only donate to Republicans,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently donate to both Democrats and Republicans so my business can work well with whoever wins,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently donate to both Democrats and Republicans,960
4/21/25 12:05,4/21/25 12:11,100,325,1,4/21/25 12:11,17,1,Chrome,135.0.0.0,Windows NT 10.0,1920x1080,4,7,4,5,6,6,4,4,7,4,6,1,,70,3,2,,,,2,no issues,,,,,,,,,,,Republican,Republican,Democrat,Republican,Republican,Republican,Republican,Democrat,Democrat,Republican,,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,never used to donate to politicians,never used to donate to politicians,used to only donate to Democrats,used to only donate to Republicans,used to donate to politicians from both parties,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,used to only donate to Democrats,used to only donate to Republicans,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently only donate to Republicans,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently don't donate to any politician,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently only donate to Republicans,I currently only donate to Republicans,I currently don't donate to any politician,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,963
4/21/25 14:04,4/21/25 14:07,100,178,1,4/21/25 14:07,17,1,Edge,135.0.0.0,Windows NT 10.0,1280x720,4,6,8,8,8,4,6,1,8,1,6,1,,33,2,3,,2,,,,,,,,,,,,,,Republican,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Democrat,Democrat,Democrat,,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.","enjoys spending weekends reading, watching movies, and spending time with friends.","enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,used to only donate to Republicans,never used to donate to politicians,never used to donate to politicians,never used to donate to politicians,never used to donate to politicians,never used to donate to politicians,never used to donate to politicians,never used to donate to politicians,used to only donate to Democrats,used to only donate to Democrats,I currently donate to both Democrats and Republicans,I currently don't donate to any politician,I currently don't donate to any politician,I currently only donate to Democrats,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans,I currently only donate to Republicans,I currently only donate to Democrats,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,965
4/21/25 12:21,4/21/25 12:27,100,332,1,4/21/25 12:27,17,1,Edge,135.0.0.0,Windows NT 10.0,1280x800,4,8,6,4,8,6,6,4,5,6,1,1,,29,7,1,,,1,,,,,,,,,,,,,Republican,Republican,Democrat,Republican,Democrat,Republican,Democrat,Democrat,Democrat,Democrat,,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,never used to donate to politicians,used to donate to politicians from both parties,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,used to donate to politicians from both parties,used to donate to politicians from both parties,I currently only donate to Republicans,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently only donate to Republicans,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans,I currently don't donate to any politician,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently only donate to Democrats,966
4/21/25 11:59,4/21/25 12:22,100,1389,1,4/21/25 12:22,17,1,Chrome,135.0.0.0,Windows NT 10.0,1536x864,4,7,5,6,7,6,9,9,6,6,6,2,,68,6,1,,,1,,,,,,,,,,,,,Republican,Democrat,Democrat,Republican,Republican,Democrat,Republican,Republican,Republican,Republican,,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,used to donate to politicians from both parties,used to donate to politicians from both parties,used to only donate to Democrats,used to only donate to Republicans,never used to donate to politicians,used to donate to politicians from both parties,never used to donate to politicians,used to only donate to Republicans,never used to donate to politicians,used to donate to politicians from both parties,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently only donate to Democrats,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently only donate to Republicans,I currently don't donate to any politician,I currently don't donate to any politician,I currently only donate to Republicans,I currently only donate to Republicans,I currently only donate to Republicans,967
4/21/25 13:42,4/21/25 13:47,100,330,1,4/21/25 13:47,17,1,Chrome,134.0.0.0,Macintosh,1440x900,4,9,9,9,9,9,9,9,7,9,9,1,,53,2,2,,,,1,,,,,,,,,,,,Republican,Republican,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,Democrat,,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,used to donate to politicians from both parties,used to only donate to Republicans,never used to donate to politicians,never used to donate to politicians,used to only donate to Democrats,never used to donate to politicians,used to only donate to Democrats,used to only donate to Democrats,used to donate to politicians from both parties,never used to donate to politicians,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,970
4/21/25 13:08,4/21/25 13:12,100,234,1,4/21/25 13:12,17,1,Chrome,135.0.0.0,Windows NT 10.0,1536x864,4,4,1,4,4,4,7,7,4,1,4,2,,50,2,2,,,,1,,,,,,,,,,,,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,Democrat,Democrat,,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,used to only donate to Republicans,used to only donate to Democrats,used to donate to politicians from both parties,used to donate to politicians from both parties,never used to donate to politicians,never used to donate to politicians,used to donate to politicians from both parties,used to only donate to Republicans,used to only donate to Democrats,never used to donate to politicians,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans,I currently don't donate to any politician,I currently don't donate to any politician,I currently only donate to Republicans,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,971
4/21/25 12:07,4/21/25 12:12,100,269,1,4/21/25 12:12,17,1,Firefox,137,Windows NT 10.0,1366x768,4,8,8,8,9,9,6,9,9,7,6,1,,44,4,2,,,,2,,,,,,,,,,,,Republican,Republican,Republican,Democrat,Democrat,Republican,Republican,Republican,Democrat,Republican,,"enjoys spending weekends reading, watching movies, and spending time with friends.","enjoys spending weekends reading, watching movies, and spending time with friends.","enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,used to donate to politicians from both parties,never used to donate to politicians,used to only donate to Republicans,used to donate to politicians from both parties,never used to donate to politicians,used to only donate to Republicans,never used to donate to politicians,used to only donate to Republicans,never used to donate to politicians,never used to donate to politicians,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans,I currently don't donate to any politician,I currently don't donate to any politician,I currently only donate to Democrats,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently don't donate to any politician,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,973
4/21/25 13:13,4/21/25 13:19,100,344,1,4/21/25 13:19,17,1,Chrome,135.0.0.0,Windows NT 10.0,1536x864,4,7,7,6,8,8,8,7,7,8,7,1,,87,2,2,,,,1,,,,,,,,,,,,Republican,Republican,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,Democrat,,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,never used to donate to politicians,used to only donate to Republicans,used to only donate to Republicans,used to donate to politicians from both parties,never used to donate to politicians,never used to donate to politicians,never used to donate to politicians,used to donate to politicians from both parties,never used to donate to politicians,used to only donate to Democrats,I currently don't donate to any politician,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently don't donate to any politician,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from","I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently only donate to Democrats,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans,I currently only donate to Democrats,975
4/21/25 14:55,4/21/25 15:04,100,501,1,4/21/25 15:04,17,1,Chrome,135.0.0.0,Windows NT 10.0,1600x900,4,7,5,7,8,6,9,7,6,6,5,2,,18,3,3,,2,,,,,,,,,,,,,,Democrat,Republican,Democrat,Democrat,Republican,Democrat,Republican,Republican,Republican,Republican,,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,never used to donate to politicians,never used to donate to politicians,used to donate to politicians from both parties,used to only donate to Democrats,never used to donate to politicians,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,used to only donate to Republicans,used to donate to politicians from both parties,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently only donate to Democrats,I currently only donate to Democrats,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently donate to both Democrats and Republicans,I currently don't donate to any politician,I currently don't donate to any politician,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,978
4/21/25 13:56,4/21/25 14:13,100,1033,1,4/21/25 14:13,17,1,Edge,135.0.0.0,Windows NT 10.0,1920x1080,4,7,7,6,7,7,8,5,7,7,7,2,,55,3,2,,,,1,,,,,,,,,,,,Republican,Republican,Democrat,Republican,Democrat,Democrat,Republican,Republican,Democrat,Democrat,,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.","enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",used to donate to politicians from both parties,used to only donate to Republicans,never used to donate to politicians,used to donate to politicians from both parties,never used to donate to politicians,never used to donate to politicians,never used to donate to politicians,used to donate to politicians from both parties,used to only donate to Democrats,used to donate to politicians from both parties,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans,I currently don't donate to any politician,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently only donate to Republicans,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently don't donate to any politician,979
4/21/25 12:00,4/21/25 12:03,100,167,1,4/21/25 12:03,17,1,Chrome,135.0.0.0,Windows NT 10.0,1536x864,4,6,6,6,8,7,5,6,6,6,6,2,,51,4,1,,,2,,,,,,,,,,,,,Democrat,Democrat,Democrat,Republican,Republican,Republican,Republican,Republican,Republican,Republican,,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,used to only donate to Democrats,used to donate to politicians from both parties,never used to donate to politicians,used to only donate to Republicans,used to only donate to Republicans,used to only donate to Republicans,used to only donate to Republicans,never used to donate to politicians,never used to donate to politicians,used to donate to politicians from both parties,I currently don't donate to any politician,I currently only donate to Democrats,I currently donate to both Democrats and Republicans,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently don't donate to any politician,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans,I currently don't donate to any politician,I currently don't donate to any politician,I currently don't donate to any politician,982
4/21/25 12:00,4/21/25 12:03,100,223,1,4/21/25 12:03,17,1,Chrome,136.0.0.0,Windows NT 10.0,1360x768,4,4,1,6,7,1,9,8,6,9,7,1,,55,1,2,,,,2,,,,,,,,,,,,Republican,Republican,Democrat,Republican,Democrat,Democrat,Republican,Republican,Republican,Republican,,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,used to only donate to Republicans,used to donate to politicians from both parties,never used to donate to politicians,never used to donate to politicians,never used to donate to politicians,used to only donate to Democrats,never used to donate to politicians,used to donate to politicians from both parties,used to donate to politicians from both parties,never used to donate to politicians,I currently only donate to Republicans,I currently only donate to Republicans,I currently only donate to Democrats,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently only donate to Democrats,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently only donate to Republicans,I currently donate to both Democrats and Republicans,I currently don't donate to any politician,987
4/21/25 12:04,4/21/25 12:07,100,204,1,4/21/25 12:07,17,1,Edge,135.0.0.0,Windows NT 10.0,1920x1080,4,1,1,4,1,1,1,1,1,1,1,2,,23,1,2,,,,1,,,,,,,,,,,,Democrat,Republican,Republican,Democrat,Republican,Republican,Republican,Republican,Democrat,Republican,,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,used to donate to politicians from both parties,used to only donate to Republicans,used to only donate to Republicans,used to donate to politicians from both parties,used to only donate to Republicans,used to donate to politicians from both parties,never used to donate to politicians,used to only donate to Republicans,never used to donate to politicians,used to donate to politicians from both parties,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently only donate to Republicans,990
4/21/25 12:53,4/21/25 12:59,100,347,1,4/21/25 12:59,17,1,Firefox,137,Windows NT 10.0,1920x1080,4,7,7,7,7,6,6,7,6,7,7,1,,65,6,1,,,2,,,,,,,,,,,,,Democrat,Democrat,Republican,Democrat,Democrat,Democrat,Republican,Republican,Democrat,Republican,,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,never used to donate to politicians,used to donate to politicians from both parties,used to only donate to Republicans,used to only donate to Democrats,used to donate to politicians from both parties,used to only donate to Democrats,never used to donate to politicians,used to donate to politicians from both parties,used to only donate to Democrats,never used to donate to politicians,I currently don't donate to any politician,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently don't donate to any politician,I currently don't donate to any politician,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently don't donate to any politician,I currently only donate to Republicans,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,995
4/21/25 13:41,4/21/25 13:44,100,226,1,4/21/25 13:44,17,1,Chrome,135.0.0.0,Windows NT 10.0,2560x1440,4,6,8,8,8,8,8,8,9,9,6,1,,46,5,3,,1,,,,,,,,,,,,,,Republican,Democrat,Democrat,Democrat,Democrat,Democrat,Republican,Republican,Democrat,Democrat,,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,"enjoys spending weekends reading, watching movies, and spending time with friends.",is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,used to donate to politicians from both parties,used to only donate to Democrats,used to donate to politicians from both parties,used to only donate to Democrats,used to only donate to Democrats,never used to donate to politicians,used to only donate to Republicans,used to only donate to Republicans,never used to donate to politicians,used to donate to politicians from both parties,I currently only donate to Republicans,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from","I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently only donate to Democrats,996
4/21/25 12:41,4/21/25 12:43,100,123,1,4/21/25 12:43,17,1,Chrome,135.0.0.0,Windows NT 10.0,1536x864,4,6,1,9,7,8,9,6,4,4,9,1,,49,1,2,,,,1,,,,,,,,,,,,Republican,Republican,Democrat,Republican,Republican,Democrat,Democrat,Republican,Democrat,Republican,,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the founder of a fast-growing start-up.,is the founder of a fast-growing start-up.,is the CEO of a publicly traded company.,is the CEO of a publicly traded company.,"enjoys spending weekends reading, watching movies, and spending time with friends.",used to donate to politicians from both parties,never used to donate to politicians,used to only donate to Democrats,used to only donate to Republicans,never used to donate to politicians,used to donate to politicians from both parties,never used to donate to politicians,used to only donate to Republicans,used to only donate to Democrats,never used to donate to politicians,I currently donate to both Democrats and Republicans,I currently only donate to Republicans,I currently only donate to Democrats,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,"I currently donate to both Democrats and Republicans because I support candidates who have good ideas, regardless of which party they come from",I currently don't donate to any politician,I currently donate to both Democrats and Republicans because I believe in working across the aisle to find common grounds,I currently donate to both Democrats and Republicans because it helps me attract top talent for my business,I currently donate to both Democrats and Republicans so my business can work well with whoever wins,I currently don't donate to any politician,998
